X	Y
1	1
2	2
3	3
4	4
5	5
6	6
7.083916084	7
8.146853147	8
9.107226107	9
9.906759907	10
10.51048951	11
10.90675991	12
11.10722611	13
11.14685315	14
11.08391608	15
11	16
11	17
11	18
11	19
11	20
11	21
11	22
11	23
11	24
10.91608392	25
10.85314685	26
10.89277389	27
11.09324009	28
11.48951049	29
12.09324009	30
12.89277389	31.08391608
13.85314685	32.14685315
14.91608392	33.10722611
16	33.90675991
17	34.51048951
18	34.90675991
19	35.10722611
20	35.14685315
21	35.08391608
22	35
23	35
24	35
25	35
26	34.91608392
27.08391608	34.85314685
28.14685315	34.89277389
29.10722611	35.09324009
29.90675991	35.48951049
30.51048951	36.09324009
30.90675991	36.89277389
31.10722611	37.85314685
31.14685315	38.91608392
31.08391608	40
31	41
30.91608392	42
30.85314685	43
30.89277389	44.08391608
31.09324009	45.14685315
31.48951049	46.10722611
32.09324009	46.90675991
32.89277389	47.51048951
33.85314685	47.90675991
34.91608392	48.02331002
36	48.16783217
37	48.18648019
38	48.16083916
39	48.1958042
40	48.20745921
41	48.11188811
42	48.01398601
43.08391608	47.995338
44.14685315	48.11421911
45.10722611	48.40559441
45.90675991	49.09324009
46.51048951	49.89277389
46.90675991	50.85314685
47.10722611	51.91608392
47.14685315	53
47.08391608	54
47	55
47	56
47	57
46.91608392	58
46.85314685	59.08391608
46.89277389	60.14685315
47.09324009	61.10722611
47.48951049	61.90675991
48.09324009	62.51048951
48.89277389	62.90675991
49.85314685	63.10722611
50.91608392	63.14685315
52	63.08391608
53	63
54	63
55	63
56	63
57	63
58	63
59	63
60	63
61	63
62	63
63	63
64	63
65	63
66	63
67	62.91608392
68	62.93706294
69	63.03962704
70	63.11655012
71	63.29370629
72	63.54895105
73	63.89277389
74	64.33566434
75	64.88811189

